name,clean sheets,goals conceded,tackles,tackle success,last man tackles,blocked shots,interceptions,clearances,headed clearance,clearances off line,recoveries,duels won,duels lost,successful 50/50,aerial battles won,aerial battles lost,own goals,errors leading to goal,assists,passes,passes per match,big chances created,crosses,cross accuracy,through balls,accurate long balls,yellow cards,red cards,fouls,offsides,goals,headed goals,goals with right foot,goals with left foot,hit woodwork
 Sead Kolasinac,9.0,30.0,49.0,0.76,0.0,7.0,26.0,53.0,27.0,0.0,134.0,118.0,107.0,12.0,47.0,32.0,0.0,0.0,4.0,1268.0,46.96,6.0,42.0,0.14,0.0,25.0,3.0,0.0,32.0,1.0,2.0,0.0,0.0,2.0,1.0
 Arthur Masuaku,4.0,29.0,58.0,0.64,0.0,3.0,26.0,33.0,11.0,0.0,143.0,194.0,165.0,83.0,23.0,20.0,0.0,0.0,3.0,683.0,25.3,3.0,100.0,0.14,1.0,28.0,5.0,0.0,30.0,2.0,0.0,0.0,0.0,0.0,0.0
 Shkodran Mustafi,9.0,30.0,64.0,0.72,1.0,3.0,57.0,171.0,112.0,0.0,158.0,198.0,129.0,1.0,122.0,74.0,0.0,2.0,1.0,1734.0,64.22,3.0,12.0,0.25,5.0,73.0,6.0,0.0,26.0,2.0,3.0,2.0,1.0,0.0,0.0
 Antonio Rüdiger,12.0,22.0,31.0,0.68,0.0,5.0,24.0,101.0,52.0,1.0,175.0,111.0,99.0,8.0,59.0,39.0,0.0,0.0,1.0,1709.0,63.3,1.0,10.0,0.0,3.0,102.0,4.0,0.0,26.0,2.0,2.0,2.0,0.0,0.0,0.0
 Ryan Shawcross,5.0,40.0,36.0,0.56,3.0,2.0,40.0,215.0,135.0,0.0,80.0,207.0,113.0,3.0,154.0,79.0,1.0,1.0,1.0,665.0,24.63,0.0,0.0,0.0,0.0,57.0,2.0,0.0,26.0,4.0,1.0,1.0,0.0,0.0,1.0
 Adam Smith,2.0,38.0,49.0,0.71,0.0,1.0,31.0,56.0,23.0,0.0,105.0,130.0,110.0,29.0,15.0,28.0,0.0,0.0,3.0,912.0,33.78,1.0,35.0,0.29,1.0,31.0,6.0,0.0,23.0,1.0,1.0,0.0,1.0,0.0,0.0
 Matthew Lowton,8.0,26.0,55.0,0.62,0.0,1.0,39.0,112.0,55.0,1.0,111.0,115.0,95.0,11.0,34.0,29.0,0.0,0.0,3.0,823.0,31.65,3.0,71.0,0.21,1.0,72.0,1.0,0.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0
 Declan Rice,3.0,29.0,36.0,0.67,0.0,2.0,27.0,70.0,33.0,3.0,72.0,71.0,53.0,2.0,31.0,35.0,0.0,1.0,0.0,573.0,22.04,0.0,5.0,0.0,1.0,43.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
 Virgil van Dijk,8.0,28.0,25.0,0.6,0.0,5.0,47.0,157.0,96.0,0.0,140.0,188.0,72.0,5.0,139.0,51.0,0.0,0.0,0.0,1770.0,68.08,4.0,1.0,0.0,3.0,106.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
 Gaëtan Bong,6.0,36.0,39.0,0.82,0.0,0.0,40.0,71.0,37.0,0.0,140.0,97.0,79.0,16.0,30.0,28.0,1.0,1.0,0.0,772.0,30.88,0.0,53.0,0.11,0.0,38.0,2.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
